claim_id,closest_prior_work,exact_overlap,imported_step,oph_specific_delta,novelty_type,owner_theorem_or_section,falsifier
OPH-SYN-FORMAL-BASIS,"AQFT, quantum information, operational observer frameworks","Algebras, states, records, and channels are standard ingredients","Finite/regulatory algebra and probability language","Observer-facing patch federation with repair and checkpoint structure","formal_construction","Observers front matter","Hidden carrier coordinates become load-bearing"
OPH-OBS-PATCH-DEF,"Operational quantum systems, finite channel models, holographic code models","Interfaces, records, and realizations have prior analogues","Finite algebra and channel-interface language","Abstract patch/support patch/carrier patch split with quotient equivalence","definition","Screen microphysics canonical semantics","Observable output depends on carrier presentation after quotient data are fixed"
OPH-CONS-D1,"Newman's lemma, rewriting systems, distributed consistency, recovery maps","Termination and confluence tools are imported","Lyapunov descent and local-diamond reasoning","Recovery-derived overlap repair with holonomy obstruction and refinement compatibility","theorem_package","Consensus paper fixed-cutoff theorem stack","Nonconfluent terminal normal forms under the stated clauses"
OPH-GR-D3-CAP-H3,"Projective null-cone geometry, PSL(2,C) Lorentz isomorphism, hyperboloid H3 model","Standard celestial-sphere, cap-normal, and hyperbolic half-space geometry is imported","Projective future-null-cone, de Sitter cap-normal, and hyperboloid geometry","OPH places the standard geometry inside the support-visible BW branch with simulator receipt semantics and non-populated-bulk/no-cap-point firewall","standard_geometry_integrated_into_OPH_branch","Compact SM/GR cap-normal H3 theorem","Wrong cap incidence sign, non-unit cap normal, failed Lorentz equivariance, or cap normal treated as H3 point"
OPH-GR-D3-H3-LOCALIZATION,"Inverse problems on hyperbolic space, finite frames, residual minimization","Halfspace separation, finite frame conditioning, compact epsilon nets, and noise-stability estimates are standard","Finite-frame inverse stability and residual localization bounds","OPH ties the inverse theorem to record-conditioned modular cap responses and receipt-gated H3 localization balls while forbidding species/stress/neutral-bulk promotion","conditional_record_population_theorem","Compact SM/GR record-populated H3 localization theorem","No compact source domain, no positive alpha, unbounded errors, or unique finite point emitted with Delta_loc<=0"
OPH-GR-D5,"Jacobson 1995, Jacobson 2016, BW modular theory","Entropy-to-Einstein route and modular tools are imported","Jacobson-type small-ball and tensor-upgrade machinery","Support-visible modular cap extraction, finite collar recovery, remainders, observer-overlap directions","application_and_extension","Compact SM/GR gravity branch","No support-visible modular limit or failed tensor upgrade"
OPH-GR-D6-CAPACITY,"Gibbons-Hawking de Sitter entropy and static-patch relations","The de Sitter entropy formula is imported","Standard entropy/capacity relation","Readback fixed point selects cosmic record capacity","quantitative_closure","Compact SM/GR capacity branch","Capacity map lacks a unique stable fixed point"
OPH-GAUGE-D7-D9,"DHR/DR/Tannaka reconstruction and Standard Model anomaly algebra","Compact gauge reconstruction and anomaly algebra are imported","DR/Tannaka and representation theory","Fixed-stage tensor-generated visible-overlap sector category with combined associator-strictification and loop-holonomy transport gate; receipt-conditional refinement/fiber descent; and MAR over a declared admissible class","construction_and_selection","Compact SM/GR gauge branch","The compact-gauge refinement receipt fails, every allowed strict representative of a retained sector has residual represented loop holonomy, or a lower-complexity admissible competitor wins"
OPH-Q-PN-CLOSURE,"Fixed-point methods and standard RG/display conventions","Fixed-point analysis and display-unit conventions are standard","Contraction/uniqueness proof methods","Two dimensionless OPH closure coordinates plus selected no-G scale certificate","quantitative_prediction_protocol","Compact proof and particle paper","Nonunique, target-leaking, or branch-switched closure"
OPH-HIER-EW,"Electroweak phenomenology and hierarchy-problem literature","Weak-scale observables and display conventions are standard","Electroweak endpoint conventions","Exact capacity bridge plus 24-slot oriented repair normalization","quantitative_derivation","Particle paper hierarchy section","Capacity residual or 24-register certificate fails"
OPH-ALPHA-PIXEL,"Running-alpha and hadronic vacuum-polarization literature","Endpoint transport physics is standard","Maxwell endpoint and spectral transport","Pixel fixed point plus explicit source/endpoint boundary","quantitative_branch_accounting","Fine-structure paper","Target leakage or unrepresented endpoint gap"
OPH-DM-CONT,"MOND, RAR, LCDM, cluster and CMB dark-sector literature","Galaxy and cosmology targets are imported","Phenomenological benchmarks","Record-repair collar stress as the dark gravitational component","phenomenological_continuation","Dark matter paper","Frozen joint likelihood excludes declared transport law"
OPH-YM-GAP,"Clay/Jaffe-Witten target, compact Yang-Mills, OS reconstruction","Yang-Mills target and reconstruction criteria are imported","Compact gauge and OS language","Repair gap supplies the Hamiltonian mass gap on the OPH branch","problem_solution_on_declared_branch","Yang-Mills gap paper","No support-visible construction or repair gap"
OPH-CHI-NU,"Material response and dark-sector scalar test design","Engineering response bookkeeping is standard","Laboratory coefficient conversion","Canonical susceptibility separated from engineering chart","experimental_target","Chi-nu paper","Controlled substrates miss required contrast"
